#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,Name,Type,_field,_measurement
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:56Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:57Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:58Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:59Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:00Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:01Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:02Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:03Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:04Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:05Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:06Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:07Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:08Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:09Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:10Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:11Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:12Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:13Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:14Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:15Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:16Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:17Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:18Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:19Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:20Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:21Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:22Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:23Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:24Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:25Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:55Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:56Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:57Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:58Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:52:59Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:00Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:01Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:02Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:03Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:04Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:05Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:06Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:07Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:08Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:09Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:10Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:11Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:12Z,100,BOC01T001,Analog,Quality,Tags
